"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
States,Maryland,Season 2023-24 ,2922,538,625,63,12,509,0,0,0
States,Massachusetts,Season 2023-24 ,1044,376,228,5,5,1,0,0,0
States,Michigan,Season 2023-24 ,2032,517,269,8,13,222,0,0,1
States,Minnesota,Season 2023-24 ,3314,960,450,387,26,531,0,2,0
States,Mississippi,Season 2023-24 ,253,26,25,7,4,15,0,0,0
States,Missouri,Season 2023-24 ,930,253,127,26,3,40,0,0,1
States,Montana,Season 2023-24 ,558,171,140,1,1,148,0,0,0
States,Nebraska,Season 2023-24 ,608,67,21,23,22,95,0,0,0
States,Nevada,Season 2023-24 ,10010,324,160,1539,525,137,0,0,0
States,New Hampshire,Season 2023-24 ,1646,527,143,172,16,41,0,0,0
States,New Jersey,Season 2023-24 ,779,164,72,15,38,4,0,0,0
States,New Mexico,Season 2023-24 ,2755,446,162,17,4,260,0,0,0
States,New York,Season 2023-24 ,12330,710,254,290,45,92,0,0,0
States,North Carolina,Season 2023-24 ,493,150,32,5,0,30,0,0,0
States,North Dakota,Season 2023-24 ,681,209,79,12,7,188,0,0,0
States,Ohio,Season 2023-24 ,1133,532,342,3,4,174,0,0,0
States,Oklahoma,Season 2023-24 ,261,7,9,2,0,6,0,0,0
States,Oregon,Season 2023-24 ,6340,245,111,20,2,132,0,0,0
States,Pennsylvania,Season 2023-24 ,16757,522,191,52,10,164,0,0,0
States,Rhode Island,Season 2023-24 ,4184,181,47,247,31,80,0,0,0
States,South Carolina,Season 2023-24 ,917,269,30,23,17,246,0,0,0
States,South Dakota,Season 2023-24 ,677,135,156,29,12,259,0,0,0
States,Tennessee,Season 2023-24 ,563,77,73,5,4,65,0,0,0
States,Texas,Season 2023-24 ,4052,338,167,13,9,296,0,0,0
