yw_index,heavy_arima,heavy_ets,heavy_tslm,heavy_prophet
2025 W17,55580.15275149018,52693.89723778587,71268.6041452469,58334.90265189749
2025 W18,55857.778188686345,50201.73272573623,75416.22990862164,56577.84250184224
2025 W19,55007.09205826308,48339.5020971479,75896.63779649646,54167.78394340688
2025 W20,54332.33626653091,46927.12562569606,73998.8067227914,50567.709973419755
2025 W21,53102.07327661989,45843.62353185008,72089.68762039955,45839.18946026662
2025 W22,51605.303493678555,45005.024755470964,67918.4343987227,40886.954245774854
2025 W23,46956.743138581485,44351.47522320869,60493.59655738035,35874.01462721504
2025 W24,42823.661266993535,43839.37442783463,53266.16077108646,31412.76950157046
